city,countyOrParish,stateOrProvince,address,shortAddress
Ballston Spa,Saratoga,NY,"232 Van Aernem Road, Ballston Spa, NY 12020",232 Van Aernem Road
Albany,Albany,NY,"32 Hopewell Street, Albany, NY 12208",32 Hopewell Street
Berne,Albany,NY,"49 Saw Mill Road, Berne, NY 12059",49 Saw Mill Road
Albany,Albany,NY,"44-46 Quail Street, Albany, NY 12206",44-46 Quail Street
Voorheesville,Albany,NY,"287 Stove Pipe Road, Voorheesville, NY 12186",287 Stove Pipe Road
Edinburg,Saratoga,NY,"L36.114 Tange Road, Edinburg, NY 12134",L36.114 Tange Road
Colonie,Albany,NY,"3 Nottingham Way, Colonie, NY 12047",3 Nottingham Way
Colonie,Albany,NY,"180 Old Loudon Road, Colonie, NY 12110",180 Old Loudon Road
Albany,Albany,NY,"164 Brevator Street, Albany, NY 12206",164 Brevator Street
Saratoga Springs,Saratoga,NY,"18 Division Street, Saratoga Springs, NY 12866",18 Division Street
Niskayuna,Schenectady,NY,"683 Hampshire Seat, Niskayuna, NY 12309",683 Hampshire Seat
Saratoga Springs,Saratoga,NY,"41C White Farms Road, Saratoga Springs, NY 12866",41C White Farms Road
Rotterdam,Schenectady,NY,"2620 1st Avenue, Rotterdam, NY 12306",2620 1st Avenue
Glenville,Schenectady,NY,"18 Richland Drive, Glenville, NY 12302",18 Richland Drive
Queensbury,Warren,NY,"65 Main Street, Queensbury, NY 12804",65 Main Street
Fort Ann,Washington,NY,"24 Lake Nebo Road, Fort Ann, NY 12827",24 Lake Nebo Road
Gloversville,Fulton,NY,"57 McKinley Place, Gloversville, NY 12078",57 McKinley Place
Troy,Rensselaer,NY,"56 Northern Drive, Troy, NY 12182",56 Northern Drive
Hudson,Columbia,NY,"2226 County Rte 27, Hudson, NY 12534",2226 County Rte 27
Albany,Albany,NY,"15 Marlborough Court, Albany, NY 12209",15 Marlborough Court
Clifton Park,Saratoga,NY,"865 New York 146, Clifton Park, NY 12019",865 New York 146
Port Henry,Essex,NY,"269 Whitney Street, Port Henry, NY 12974",269 Whitney Street
Ravena,Albany,NY,"8 N Clement Avenue, Ravena, NY 12143",8 N Clement Avenue
Queensbury,Warren,NY,"9 Fawn Lane, Queensbury, NY 12804",9 Fawn Lane
Schenectady,Schenectady,NY,"2410 Albany Street, Schenectady, NY 12304",2410 Albany Street
Amsterdam,Montgomery,NY,"13 Kimball Street, Amsterdam, NY 12010",13 Kimball Street
Gloversville,Fulton,NY,"242 Bleecker Street, Gloversville, NY 12078",242 Bleecker Street
Clifton Park,Saratoga,NY,"9 Meadow Run, Clifton Park, NY 12065",9 Meadow Run
Schenectady,Schenectady,NY,"155 Manchester Road, Schenectady, NY 12304",155 Manchester Road
Cohoes,Albany,NY,"26 1st Street, Cohoes, NY 12047",26 1st Street
Hoosick Falls,Rensselaer,NY,"16 Snow Street, Hoosick Falls, NY 12090",16 Snow Street
Schroon,Essex,NY,"76 French Road, Schroon, NY 12870",76 French Road
Waterford,Saratoga,NY,"101 Saratoga Avenue, Waterford, NY 12188",101 Saratoga Avenue
Stillwater,Saratoga,NY,"6 Backstretch Court, Stillwater, NY 12866",6 Backstretch Court
Frankfort,Herkimer,NY,"122 N Frankfort Street, Frankfort, NY 13340",122 N Frankfort Street
Bethlehem,Albany,NY,"20 Marsdale Court, Bethlehem, NY 12158",20 Marsdale Court
Glens Falls,Warren,NY,"16 May Street, A, Glens Falls, NY 12801","16 May Street, A"
Albany,Albany,NY,"294 Western Avenue, Albany, NY 12203",294 Western Avenue
Saratoga Springs,Saratoga,NY,"30 First Street, Saratoga Springs, NY 12866",30 First Street
Hague,Warren,NY,"11 Streeter Hill Road, Hague, NY 12836",11 Streeter Hill Road
Colonie,Albany,NY,"3 Paul Holly Drive, Colonie, NY 12211",3 Paul Holly Drive
Malta,Saratoga,NY,"46 Wineberry Lane, Malta, NY 12020",46 Wineberry Lane
Albany,Albany,NY,"13 Woodside Drive, Albany, NY 12208",13 Woodside Drive
Saratoga Springs,Saratoga,NY,"31 Vichy Drive, Saratoga Springs, NY 12866",31 Vichy Drive
Saratoga Springs,Saratoga,NY,"25 Clinton Street, Saratoga Springs, NY 12866",25 Clinton Street
Clifton Park,Saratoga,NY,"3 Stonegate Road, Clifton Park, NY 12019",3 Stonegate Road
Troy,Rensselaer,NY,"55 Brunswick Avenue, 1, Troy, NY 12180","55 Brunswick Avenue, 1"
Whitehall Village,Washington,NY,"22 Williams Street, Whitehall Village, NY 12887",22 Williams Street
Gloversville,Fulton,NY,"23 Spruce Street, Gloversville, NY 12078",23 Spruce Street
Moreau,Saratoga,NY,"455 Gansevoort Road, Moreau, NY 12828",455 Gansevoort Road
Schenectady,Schenectady,NY,"20-22 Union Avenue Avenue, Schenectady, NY 12308",20-22 Union Avenue Avenue
Troy,Rensselaer,NY,"229 2nd Street, unit#3, Troy, NY 12180","229 2nd Street, unit#3"
Bethlehem,Albany,NY,"30 Haswell Greene Road, Bethlehem, NY 12054",30 Haswell Greene Road
Albany,Albany,NY,"352 State Street, 3E, Albany, NY 12210","352 State Street, 3E"
Kingsbury,Washington,NY,"19 Crowley Road, Kingsbury, NY 12839",19 Crowley Road
Oneonta,Otsego,NY,"18 Brigham Road, Oneonta, NY 13820",18 Brigham Road
Saratoga Springs,Saratoga,NY,"70 Mitchell Street, Saratoga Springs, NY 12866",70 Mitchell Street
Sharon,Schoharie,NY,"138 Lantern Drive, Sharon, NY 13459",138 Lantern Drive
Rotterdam,Schenectady,NY,"2000 Curry Road, 26, Rotterdam, NY 12303","2000 Curry Road, 26"
Schenectady,Schenectady,NY,"227 Eastholm Road, Schenectady, NY 12304",227 Eastholm Road
Hudson Falls,Washington,NY,"47 Margaret Street, Hudson Falls, NY 12839",47 Margaret Street
Queensbury,Warren,NY,"199 Sunnyside E, Queensbury, NY 12804",199 Sunnyside E
Colonie,Albany,NY,"721 Watervliet Shaker Road, Colonie, NY 12110",721 Watervliet Shaker Road
Albany,Albany,NY,"1150 Broadway, Albany, NY 12204",1150 Broadway
Westerlo,Albany,NY,"998 County Route 401, Westerlo, NY 12193",998 County Route 401
Glenville,Schenectady,NY,"306 Closson Road, Glenville, NY 12302",306 Closson Road
Bethlehem,Albany,NY,"12 Willowbrook Avenue, Bethlehem, NY 12158",12 Willowbrook Avenue
Troy,Rensselaer,NY,"181 Pinewoods Avenue, Troy, NY 12180",181 Pinewoods Avenue
Schenectady,Schenectady,NY,"1857 Van Vranken Avenue, Schenectady, NY 12308",1857 Van Vranken Avenue
Albany,Albany,NY,"905 Myrtle Avenue, Albany, NY 12208",905 Myrtle Avenue
Mechanicville,Saratoga,NY,"25 Green Street, Mechanicville, NY 12118",25 Green Street
Colonie,Albany,NY,"20 Hillard Lane, Colonie, NY 12110",20 Hillard Lane
Albany,Albany,NY,"22 Yardboro Avenue, Albany, NY 12205",22 Yardboro Avenue
Albany,Albany,NY,"11 Alden Avenue, 2, Albany, NY 12209","11 Alden Avenue, 2"
Cohoes,Albany,NY,"119 Congress Street, Cohoes, NY 12047",119 Congress Street
Bethlehem,Albany,NY,"808 Feura Bush Road, Bethlehem, NY 12054",808 Feura Bush Road
"Saratoga Springs, Inside",Saratoga,NY,"59 Van Dam Street, Unit 1, Saratoga Springs, Inside, NY 12866","59 Van Dam Street, Unit 1"
Rotterdam,Schenectady,NY,"1028 Paul Avenue, Rotterdam, NY 12306",1028 Paul Avenue
Duanesburg,Schenectady,NY,"4550-4452 Duanesburg Road, Duanesburg, NY 12056",4550-4452 Duanesburg Road
Providence,Saratoga,NY,"142 Crannel Road, Providence, NY 12074",142 Crannel Road
North Greenbush,Rensselaer,NY,"430 N Greenbush Road, North Greenbush, NY 12144",430 N Greenbush Road
Amsterdam,Montgomery,NY,"2 Chuctununda Street, Amsterdam, NY 12010",2 Chuctununda Street
Albany,Albany,NY,"96 Brookline Avenue, Albany, NY 12203",96 Brookline Avenue
Ephratah,Fulton,NY,"107 County Hwy 140, Ephratah, NY 13452",107 County Hwy 140
Fultonville,Montgomery,NY,"27 Colby Avenue, Fultonville, NY 12072",27 Colby Avenue
Milton,Saratoga,NY,"21 Skylark Drive, Milton, NY 12020",21 Skylark Drive
Bethlehem,Albany,NY,"36 Carolanne Drive, Bethlehem, NY 12054",36 Carolanne Drive
Greenfield,Saratoga,NY,"14 Crestwood Drive, Greenfield, NY 12833",14 Crestwood Drive
Wilton,Saratoga,NY,"49 Hopeful Lane, Wilton, NY 12831",49 Hopeful Lane
Saratoga Springs,Saratoga,NY,"1 Robin Hood Court, Saratoga Springs, NY 12866",1 Robin Hood Court
Saratoga Springs,Saratoga,NY,"54 Granite Street, Saratoga Springs, NY 12866",54 Granite Street
Albany,Albany,NY,"61 Edgecomb Street, Albany, NY 12209",61 Edgecomb Street
Troy,Rensselaer,NY,"2341 15th Street, Troy, NY 12180",2341 15th Street
Bethlehem,Albany,NY,"58 Wakefield Court, Bethlehem, NY 12054",58 Wakefield Court
Canajoharie,Montgomery,NY,"52 Phillips Avenue, Canajoharie, NY 13317",52 Phillips Avenue
Saratoga Springs,Saratoga,NY,"73 Van Dam Street, Saratoga Springs, NY 12866",73 Van Dam Street
Albany,Albany,NY,"13 S Marshall Street, 1, Albany, NY 12209","13 S Marshall Street, 1"
Middleburgh,Schoharie,NY,"141 Morning Sun Drive, Middleburgh, NY 12157",141 Morning Sun Drive
Queensbury,Warren,NY,"1180 Ridge Road, Queensbury, NY 12804",1180 Ridge Road
Troy,Rensselaer,NY,"323 2nd Street, 1, Troy, NY 12180","323 2nd Street, 1"
Knox,Albany,NY,"1354 Knox Cave Road, Knox, NY 12053",1354 Knox Cave Road
Rexford,Saratoga,NY,"99 Blue Barns Road, Rexford, NY 12148",99 Blue Barns Road
St Johnsville,Montgomery,NY,"L8 NY-5, St Johnsville, NY 13452",L8 NY-5
Hague,Warren,NY,"9042 Lake Shore Drive, Hague, NY 12836",9042 Lake Shore Drive
Albany,Albany,NY,"540 Morris Street, Albany, NY 12208",540 Morris Street
Schenectady,Schenectady,NY,"1117 McClellan Street, Schenectady, NY 12309",1117 McClellan Street
Seward,Schoharie,NY,"464 Harroway Road, Seward, NY 12149",464 Harroway Road
Troy,Rensselaer,NY,"668 6th Avenue, Troy, NY 12182",668 6th Avenue
Carlisle,Schoharie,NY,"331 Snyder Road, Carlisle, NY 12043",331 Snyder Road
Nassau,Rensselaer,NY,"25 Albany Avenue, Nassau, NY 12123",25 Albany Avenue
Colonie,Albany,NY,"26 Jared Court, Colonie, NY 12047",26 Jared Court
Malta,Saratoga,NY,"1 Candlewood Drive, Malta, NY 12019",1 Candlewood Drive
Perth,Fulton,NY,"4646 State Highway 30, Perth, NY 12010",4646 State Highway 30
Altamont,Albany,NY,"114 Sand Street, Altamont, NY 12009",114 Sand Street
Canajoharie,Montgomery,NY,"62 Church Street, Canajoharie, NY 13317",62 Church Street
Malta,Saratoga,NY,"2648 Route 9, Unit 2, Malta, NY 12020","2648 Route 9, Unit 2"
Minden,Montgomery,NY,"253 River Road, Minden, NY 13339",253 River Road
Stillwater,Saratoga,NY,"80 West Street, Stillwater, NY 12118",80 West Street
Colonie,Albany,NY,"74 Waverly Circle, Colonie, NY 12189",74 Waverly Circle
Mechanicville,Saratoga,NY,"162 S Main Street, Mechanicville, NY 12118",162 S Main Street
Sand Lake,Rensselaer,NY,"204 Bauer Road, Sand Lake, NY 12018",204 Bauer Road
Putnam,Washington,NY,"310 Peterson Road, Putnam, NY 12861",310 Peterson Road
East Greenbush,Rensselaer,NY,"37 Bruen Court, East Greenbush, NY 12144",37 Bruen Court
Root,Montgomery,NY,"220 Rural Grove Road, Root, NY 12166",220 Rural Grove Road
Lake George,Warren,NY,"9 Flat Rock Road, Lake George, NY 12845",9 Flat Rock Road
Saratoga Springs,Saratoga,NY,"4 Downton Walk, Saratoga Springs, NY 12866",4 Downton Walk
Colonie,Albany,NY,"10 Quincy Street, Colonie, NY 12205",10 Quincy Street
East Greenbush,Rensselaer,NY,"265 Summit Avenue, East Greenbush, NY 12144",265 Summit Avenue
Worcester,Otsego,NY,"435 Smith Road, Worcester, NY 12197",435 Smith Road
Corinth,Saratoga,NY,"22 Trout Pond Road, Corinth, NY 12859",22 Trout Pond Road
Colonie,Albany,NY,"25 Criswood Drive, Colonie, NY 12205",25 Criswood Drive
Niskayuna,Schenectady,NY,"1200 Hillside Avenue, APT 303, Niskayuna, NY 12309","1200 Hillside Avenue, APT 303"
Bethlehem,Albany,NY,"36 Eton Drive, Bethlehem, NY 12159",36 Eton Drive
New Lebanon,Columbia,NY,"317 Route 20, New Lebanon, NY 12125",317 Route 20
Clifton Park,Saratoga,NY,"46 Evergreen Avenue, Clifton Park, NY 12065",46 Evergreen Avenue
Sand Lake,Rensselaer,NY,"8488 Miller Hill Road, Sand Lake, NY 12018",8488 Miller Hill Road
North Greenbush,Rensselaer,NY,"1502 Brison Avenue, North Greenbush, NY 12180",1502 Brison Avenue
Schaghticoke,Rensselaer,NY,"2854 River Road, Schaghticoke, NY 12121",2854 River Road
Johnsburg,Warren,NY,"218 Mountain Path, Johnsburg, NY 12843",218 Mountain Path
Saratoga Springs,Saratoga,NY,"156 Kaydeross Park Road, Saratoga Springs, NY 12866",156 Kaydeross Park Road
Schenectady,Schenectady,NY,"35 Wagner Avenue, Schenectady, NY 12304",35 Wagner Avenue
Halfmoon,Saratoga,NY,"22 Generals Way, Halfmoon, NY 12065",22 Generals Way
Schenectady,Schenectady,NY,"565 Summit Avenue, Schenectady, NY 12307",565 Summit Avenue
Albany,Albany,NY,"9 Rawson Street, Albany, NY 12206",9 Rawson Street
Wilton,Saratoga,NY,"5 Heritage Way, 320, Wilton, NY 12831","5 Heritage Way, 320"
Milton,Saratoga,NY,"301 Northline Road, Milton, NY 12020",301 Northline Road
Amsterdam,Montgomery,NY,"27 New Street, Amsterdam, NY 12010",27 New Street
Queensbury,Warren,NY,"16 Sweetbriar Lane, Queensbury, NY 12804",16 Sweetbriar Lane
Schenectady,Schenectady,NY,"1445 Rugby Road, Schenectady, NY 12308",1445 Rugby Road
East Greenbush,Rensselaer,NY,"3 Daniel Street, East Greenbush, NY 12144",3 Daniel Street
Amsterdam,Montgomery,NY,"148 Florida Avenue, Amsterdam, NY 12010",148 Florida Avenue
North Norwich,Chenango,NY,"L61.12 County Rd 32, North Norwich, NY 13814",L61.12 County Rd 32
Lake George,Warren,NY,"10 Footpath Way, Lake George, NY 12845",10 Footpath Way
Grafton,Rensselaer,NY,"301 Old Road, Grafton, NY 12052",301 Old Road
Fultonville,Montgomery,NY,"24 Colby Avenue, Fultonville, NY 12072",24 Colby Avenue
Watervliet,Albany,NY,"1291 3rd Avenue, Watervliet, NY 12189",1291 3rd Avenue
Colonie,Albany,NY,"9 Carol Ann Drive, Colonie, NY 12205",9 Carol Ann Drive
Fort Edward,Washington,NY,"1244 Burgoyne Avenue, Fort Edward, NY 12839",1244 Burgoyne Avenue
Wilton,Saratoga,NY,"50 Cannon Royal Drive, Wilton, NY 12866",50 Cannon Royal Drive
Albany,Albany,NY,"692 Morris Street, Albany, NY 12208",692 Morris Street
East Greenbush,Rensselaer,NY,"1045 Luther Road, East Greenbush, NY 12061",1045 Luther Road
Schenectady,Schenectady,NY,"6 Alvey Street, Schenectady, NY 12304",6 Alvey Street
Nassau,Rensselaer,NY,"362 Hoags Corners Road, Nassau, NY 12018",362 Hoags Corners Road
Colonie,Albany,NY,"409 Sand Creek Road, Colonie, NY 12205",409 Sand Creek Road
Hague,Warren,NY,"L57 Dodd Hill Road, Hague, NY 12836",L57 Dodd Hill Road
North Greenbush,Rensselaer,NY,"430 N Greenbush Road, North Greenbush, NY 12144",430 N Greenbush Road
Albany,Albany,NY,"342 New Scotland Avenue, Albany, NY 12208",342 New Scotland Avenue
Halfmoon,Saratoga,NY,"24 Parkview Drive, Halfmoon, NY 12118",24 Parkview Drive
Schodack,Rensselaer,NY,"67 Cynthia Lane, Schodack, NY 12123",67 Cynthia Lane
Guilderland,Albany,NY,"4 Arden Craig Drive, Guilderland, NY 12203",4 Arden Craig Drive
Bethlehem,Albany,NY,"6 Rural Place, Bethlehem, NY 12054",6 Rural Place
Johnstown,Fulton,NY,"419 Fon Clair Street, Johnstown, NY 12095",419 Fon Clair Street
Edinburg,Saratoga,NY,"72 Northville Road, Edinburg, NY 12134",72 Northville Road
Bethlehem,Albany,NY,"49 Herrick Avenue, Bethlehem, NY 12054",49 Herrick Avenue
Schroon,Essex,NY,"18 French Road, Schroon, NY 12870",18 French Road
Colonie,Albany,NY,"188A Forts Ferry Road, Colonie, NY 12110",188A Forts Ferry Road
Kingsbury,Washington,NY,"32 Swan Street, Kingsbury, NY 12839",32 Swan Street
Perth,Fulton,NY,"L8-1 Smith Road, Perth, NY 12010",L8-1 Smith Road
Voorheesville,Albany,NY,"52 Scotchpine Drive, Voorheesville, NY 12186",52 Scotchpine Drive
Fort Ann,Washington,NY,"241 Goodman Road, Fort Ann, NY 12827",241 Goodman Road
Ballston,Saratoga,NY,"33 Mackenna Court, Ballston, NY 12019",33 Mackenna Court
Stuyvesant,Columbia,NY,"126 County Route 26A, Stuyvesant, NY 12173",126 County Route 26A
Schodack,Rensselaer,NY,"120 Schuurman Road, Schodack, NY 12033",120 Schuurman Road
Queensbury,Warren,NY,"366 Quaker Road, Queensbury, NY 12804",366 Quaker Road
Bolton,Warren,NY,"94 Long View Lane, Bolton, NY 12814",94 Long View Lane
Schenectady,Schenectady,NY,"919 Strong Street, Schenectady, NY 12307",919 Strong Street
Argyle,Washington,NY,"7166 NY-40, Argyle, NY 12809",7166 NY-40
Schenectady,Schenectady,NY,"6 North Street, Schenectady, NY 12305",6 North Street
Queensbury,Warren,NY,"29 Howard Street, Queensbury, NY 12804",29 Howard Street
Guilderland,Albany,NY,"53 Fliegel Avenue, Guilderland, NY 12203",53 Fliegel Avenue
Worcester,Otsego,NY,"10610 State Highway 7, Worcester, NY 12064",10610 State Highway 7
Rotterdam,Schenectady,NY,"1941 Helderberg Avenue, Rotterdam, NY 12306",1941 Helderberg Avenue
Albany,Albany,NY,"33 Marwood Street, Albany, NY 12209",33 Marwood Street
Schenectady,Schenectady,NY,"179 Lorraine Avenue, Schenectady, NY 12304",179 Lorraine Avenue
Schenectady,Schenectady,NY,"415 Victory Avenue, Schenectady, NY 12307",415 Victory Avenue
Rotterdam,Schenectady,NY,"1479 Fern Avenue, Rotterdam, NY 12306",1479 Fern Avenue
Ballston,Saratoga,NY,"65 Cypress Street, Ballston, NY 12019",65 Cypress Street
Minerva,Essex,NY,"1240 State Route 28N, Minerva, NY 12857",1240 State Route 28N
Schenectady,Schenectady,NY,"1124 Parkwood Boulevard, Schenectady, NY 12308",1124 Parkwood Boulevard
Sand Lake,Rensselaer,NY,"11 Middle Court, Sand Lake, NY 12196",11 Middle Court
Schenectady,Schenectady,NY,"879 Thompson Street, Schenectady, NY 12306",879 Thompson Street
Moreau,Saratoga,NY,"23 Hilton Drive, Moreau, NY 12803",23 Hilton Drive
Duanesburg,Schenectady,NY,"858 Oak Hill Road, Duanesburg, NY 12066",858 Oak Hill Road
Valley Falls,Rensselaer,NY,"132 Tomhannock Road, Valley Falls, NY 12185",132 Tomhannock Road
Cambridge,Washington,NY,"155 Plains Road, Cambridge, NY 12816",155 Plains Road
Altamont,Albany,NY,"1 Avallon Way, Altamont, NY 12009",1 Avallon Way
Waterford,Saratoga,NY,"6 Shear Court, Waterford, NY 12188",6 Shear Court
Schodack,Rensselaer,NY,"546 River Road, Schodack, NY 12156",546 River Road
Watervliet,Albany,NY,"919 Twenty 5th Street, Watervliet, NY 12189",919 Twenty 5th Street
Valatie,Columbia,NY,"3121 High Street, Valatie, NY 12184",3121 High Street
Rotterdam,Schenectady,NY,"84 Whispering Pines Way, Rotterdam, NY 12306",84 Whispering Pines Way
Albany,Albany,NY,"118 Edgecomb Street, Albany, NY 12209",118 Edgecomb Street
Ballston Spa,Saratoga,NY,"63 E High Street, Ballston Spa, NY 12020",63 E High Street
Worcester,Otsego,NY,"284 Main Street, Worcester, NY 12197",284 Main Street
Rotterdam,Schenectady,NY,"160 Garden Street, Rotterdam, NY 12306",160 Garden Street
Glenville,Schenectady,NY,"140 Acorn Drive, Glenville, NY 12302",140 Acorn Drive
South Glens Falls,Saratoga,NY,"29 Wilson Avenue, South Glens Falls, NY 12803",29 Wilson Avenue
Halfmoon,Saratoga,NY,"22 Staniak Road, Halfmoon, NY 12118",22 Staniak Road
Niskayuna,Schenectady,NY,"1540 Clifton Park Road, Niskayuna, NY 12309",1540 Clifton Park Road
Duanesburg,Schenectady,NY,"1200 Creek Road, Duanesburg, NY 12056",1200 Creek Road
Rotterdam,Schenectady,NY,"3229 Taylor Street, Rotterdam, NY 12306",3229 Taylor Street
Albany,Albany,NY,"49.5 Alexander Street, Albany, NY 12202",49.5 Alexander Street
Warrensburg,Warren,NY,"5 Henry Street, Warrensburg, NY 12885",5 Henry Street
Moreau,Saratoga,NY,"2 Nancys Way, Moreau, NY 12831",2 Nancys Way
Amsterdam,Montgomery,NY,"108 Florida Avenue, Amsterdam, NY 12010",108 Florida Avenue
Sand Lake,Rensselaer,NY,"20 Zack Lane, Sand Lake, NY 12018",20 Zack Lane
Bethlehem,Albany,NY,"77 McCormack Road, Bethlehem, NY 12159",77 McCormack Road
Troy,Rensselaer,NY,"55 Oakwood Avenue, Troy, NY 12180",55 Oakwood Avenue
Queensbury,Warren,NY,"1 Thomas Street, Queensbury, NY 12804",1 Thomas Street
Glens Falls,Warren,NY,"41 Horicon Avenue, C, Glens Falls, NY 12801","41 Horicon Avenue, C"
Wilton,Saratoga,NY,"447 Wilton Road, Wilton, NY 12831",447 Wilton Road
"Saratoga Springs, Outside",Saratoga,NY,"11 Brookwood Drive, Saratoga Springs, Outside, NY 12866",11 Brookwood Drive
Waterford,Saratoga,NY,"19 Timber Drive, Waterford, NY 12188",19 Timber Drive
Rotterdam,Schenectady,NY,"1047 Louis Road, Rotterdam, NY 12303",1047 Louis Road
Colonie,Albany,NY,"20 Thoroughbred Lane, Colonie, NY 12205",20 Thoroughbred Lane
Duanesburg,Schenectady,NY,"2632 Mariaville Scotch Church Road, Duanesburg, NY 12137",2632 Mariaville Scotch Church Road
Indian Lake,Hamilton,NY,"L12 Balsam Drive, Indian Lake, NY 12842",L12 Balsam Drive
Albany,Albany,NY,"599 Hudson Avenue, Albany, NY 12203",599 Hudson Avenue
Gloversville,Fulton,NY,"32 W 12th Avenue, Gloversville, NY 12078",32 W 12th Avenue
Moreau,Saratoga,NY,"140 Redmond Road, Moreau, NY 12831",140 Redmond Road
Guilderland,Albany,NY,"1 Carriage Hill Lane, Guilderland, NY 12303",1 Carriage Hill Lane
Bethlehem,Albany,NY,"6 Monroe Avenue, Bethlehem, NY 12203",6 Monroe Avenue
Glens Falls,Warren,NY,"23 Orville Street, Glens Falls, NY 12801",23 Orville Street
Northville,Fulton,NY,"127 Simpson Road, Northville, NY 12134",127 Simpson Road
Bleecker,Fulton,NY,"530 N Shore Road, Bleecker, NY 12078",530 N Shore Road
Troy,Rensselaer,NY,"159 Central Avenue, Troy, NY 12180",159 Central Avenue
Niskayuna,Schenectady,NY,"2528 Peters Lane, Niskayuna, NY 12309",2528 Peters Lane
Schenectady,Schenectady,NY,"526 Clarendon Street, Schenectady, NY 12308",526 Clarendon Street
Guilderland,Albany,NY,"20 E Highland Drive, Guilderland, NY 12203",20 E Highland Drive
Schenectady,Schenectady,NY,"117 Gasner Avenue, Schenectady, NY 12304",117 Gasner Avenue
North Greenbush,Rensselaer,NY,"71 Guiliana Boulevard, North Greenbush, NY 12198",71 Guiliana Boulevard
Cobleskill Village,Schoharie,NY,"258 N Grand Street, Cobleskill Village, NY 12043",258 N Grand Street
Albany,Albany,NY,"510 Clinton Avenue, Albany, NY 12206",510 Clinton Avenue
Saratoga Springs,Saratoga,NY,"128 Henry Street, Apt 403, Saratoga Springs, NY 12866","128 Henry Street, Apt 403"
Greenfield,Saratoga,NY,"141 Wilton Road, Greenfield, NY 12833",141 Wilton Road
Glens Falls,Warren,NY,"168 Bay Street, Glens Falls, NY 12801",168 Bay Street
Albany,Albany,NY,"183 Spring Street, Albany, NY 12203",183 Spring Street
Saratoga Springs,Saratoga,NY,"88 Ash Street, Saratoga Springs, NY 12866",88 Ash Street
Bleecker,Fulton,NY,"584 N Shore Rd Peck Lake, Bleecker, NY 12078",584 N Shore Rd Peck Lake
Niskayuna,Schenectady,NY,"3712 Consaul Road, Niskayuna, NY 12304",3712 Consaul Road
Clifton Park,Saratoga,NY,"19 Barney Road, Clifton Park, NY 12065",19 Barney Road
Cairo,Greene,NY,"1158 Hearts Content Road, Cairo, NY 12473",1158 Hearts Content Road
Albany,Albany,NY,"70 Livingston Avenue, Albany, NY 12207",70 Livingston Avenue
Colonie,Albany,NY,"2 Old Niskayuna Road, Colonie, NY 12211",2 Old Niskayuna Road
White Creek,Washington,NY,"184 County Route 68, White Creek, NY 12057",184 County Route 68
Niskayuna,Schenectady,NY,"1394 Ruffner Road, Niskayuna, NY 12309",1394 Ruffner Road
Troy,Rensselaer,NY,"63 Brunswick Road, Troy, NY 12180",63 Brunswick Road
Altamont,Albany,NY,"5 Gregg Road, Altamont, NY 12009",5 Gregg Road
Sharon Springs,Schoharie,NY,"L13.131 State Route 145, Sharon Springs, NY 13459",L13.131 State Route 145
Ticonderoga,Essex,NY,"288 Alexandra Avenue, Ticonderoga, NY 12883",288 Alexandra Avenue
Fort Edward,Washington,NY,"624 Lower Oak Street, Fort Edward, NY 12839",624 Lower Oak Street
Schaghticoke,Rensselaer,NY,"138 Speigletown Road, Schaghticoke, NY 12182",138 Speigletown Road
Hoosick Falls,Rensselaer,NY,"44 Hoosick Street, Hoosick Falls, NY 12090",44 Hoosick Street
Coeymans,Albany,NY,"20 Stanton Road, Coeymans, NY 12046",20 Stanton Road
Glenville,Schenectady,NY,"2059 W Glenville Road, Glenville, NY 12010",2059 W Glenville Road
Caroga,Fulton,NY,"L3 Kasson Drive, Caroga, NY 12032",L3 Kasson Drive
Troy,Rensselaer,NY,"831 6th Avenue, Troy, NY 12182",831 6th Avenue
Ballston Spa,Saratoga,NY,"4 Van Buren Street, Ballston Spa, NY 12020",4 Van Buren Street
Saratoga Springs,Saratoga,NY,"124 Edie Road, Saratoga Springs, NY 12866",124 Edie Road
Glens Falls,Warren,NY,"8 Faxon Street, Glens Falls, NY 12801",8 Faxon Street
Guilderland,Albany,NY,"630 Salvia Lane, Guilderland, NY 12303",630 Salvia Lane
Cohoes,Albany,NY,"11 Congress Street, 2ND FLOOR, Cohoes, NY 12047","11 Congress Street, 2ND FLOOR"
Queensbury,Warren,NY,"32 Minnesota Avenue, Queensbury, NY 12804",32 Minnesota Avenue
New Scotland,Albany,NY,"1438 Indian Fields Road, New Scotland, NY 12067",1438 Indian Fields Road
Worcester,Otsego,NY,"10575 State Highway 7, Worcester, NY 12064",10575 State Highway 7
Ticonderoga,Essex,NY,"22 George Street, Ticonderoga, NY 12883",22 George Street
East Greenbush,Rensselaer,NY,"47 Phillips Road, East Greenbush, NY 12144",47 Phillips Road
Clifton Park,Saratoga,NY,"70 Grissom Drive, Clifton Park, NY 12065",70 Grissom Drive
Halfmoon,Saratoga,NY,"9A Empire Court, Halfmoon, NY 12065",9A Empire Court
"Saratoga Springs, Inside",Saratoga,NY,"3 Clubhouse Drive, Saratoga Springs, Inside, NY 12866",3 Clubhouse Drive
Wilton,Saratoga,NY,"14 Angeles Avenue, Wilton, NY 12866",14 Angeles Avenue
Gloversville,Fulton,NY,"6 7th Avenue, Gloversville, NY 12078",6 7th Avenue
Schenectady,Schenectady,NY,"1318 Poplar Street, Schenectady, NY 12308",1318 Poplar Street
